teacher_id,student_id,academic_level,job_satisfaction,salary_satisfaction,students_performance_impact
1,1,Doctorate,Low,High,84.0
2,2,Doctorate,High,Moderate,52.2
3,3,Bachelor's,Moderate,Low,60.0
4,4,Bachelor's,High,High,86.8
5,5,Master's,High,High,62.9
6,6,Doctorate,Low,Moderate,73.7
7,7,Master's,Moderate,Low,91.9
8,8,Doctorate,Moderate,Low,50.7
9,9,Doctorate,High,High,68.8
10,10,Doctorate,Moderate,Low,62.6
11,11,Master's,Low,High,58.5
12,12,Bachelor's,Low,High,58.0
13,13,Bachelor's,High,High,52.3
14,14,Bachelor's,Moderate,Moderate,99.4
15,15,Master's,High,High,99.3
16,16,Doctorate,Low,Moderate,59.3
17,17,Bachelor's,Low,Moderate,61.8
18,18,Master's,Moderate,Moderate,93.9
19,19,Doctorate,High,High,59.2
20,20,Master's,High,Low,71.8
21,21,Bachelor's,High,High,86.6
22,22,Master's,Low,Moderate,70.5
23,23,Doctorate,Moderate,Moderate,90.7
24,24,Bachelor's,Moderate,Moderate,92.3
25,25,Bachelor's,Moderate,High,53.0
26,26,Master's,Moderate,Moderate,61.2
27,27,Doctorate,Moderate,Low,67.6
28,28,Master's,Low,High,88.4
29,29,Master's,Low,High,56.0
30,30,Bachelor's,High,Moderate,98.8
31,31,Master's,Low,High,51.1
32,32,Doctorate,Low,Moderate,99.9
33,33,Master's,High,Moderate,97.8
34,34,Doctorate,Moderate,High,61.2
35,35,Bachelor's,Low,Low,89.9
36,36,Master's,Moderate,High,89.6
37,37,Bachelor's,Moderate,Low,59.1
38,38,Bachelor's,High,High,70.0
39,39,Master's,Moderate,Low,80.5
40,40,Master's,Low,Low,89.0
41,41,Doctorate,High,High,51.0
42,42,Doctorate,Moderate,High,68.0
43,43,Bachelor's,Moderate,High,68.7
44,44,Master's,High,Moderate,89.5
45,45,Master's,Low,Moderate,80.6
46,46,Doctorate,High,Moderate,85.7
47,47,Bachelor's,High,High,61.7
48,48,Doctorate,High,Moderate,52.3
49,49,Master's,High,Low,50.6
50,50,Bachelor's,Moderate,Moderate,95.0
51,51,Master's,Moderate,High,69.1
52,52,Doctorate,High,High,63.2
53,53,Master's,Moderate,High,81.3
54,54,Bachelor's,Moderate,Moderate,57.5
55,55,Bachelor's,Moderate,High,87.6
56,56,Bachelor's,Moderate,High,68.8
57,57,Master's,Moderate,Low,74.4
58,58,Bachelor's,Low,Moderate,67.9
59,59,Bachelor's,Low,Moderate,66.3
60,60,Doctorate,Moderate,Low,66.0
61,61,Doctorate,Low,Moderate,71.6
62,62,Doctorate,Moderate,Low,78.8
63,63,Doctorate,High,Low,99.1
64,64,Doctorate,High,High,74.3
65,65,Master's,Low,Low,94.2
66,66,Bachelor's,High,Low,62.0
67,67,Bachelor's,High,High,68.0
68,68,Master's,High,Moderate,87.3
69,69,Bachelor's,Moderate,High,51.9
70,70,Doctorate,Moderate,Moderate,52.6
71,71,Master's,Moderate,Low,52.8
72,72,Doctorate,High,Low,64.2
73,73,Master's,Low,Low,57.4
74,74,Doctorate,Moderate,Low,52.8
75,75,Doctorate,High,High,59.1
76,76,Bachelor's,High,High,80.1
77,77,Master's,High,Low,93.2
78,78,Doctorate,Low,High,57.9
79,79,Master's,High,Moderate,99.9
80,80,Doctorate,Low,Moderate,65.9
81,81,Bachelor's,Moderate,Moderate,65.7
82,82,Doctorate,High,Moderate,98.8
83,83,Doctorate,Low,Moderate,94.0
84,84,Master's,Moderate,High,89.8
85,85,Master's,High,Low,95.7
86,86,Bachelor's,High,Low,62.7
87,87,Bachelor's,High,Low,59.8
88,88,Doctorate,Low,Low,61.9
89,89,Master's,High,Moderate,60.4
90,90,Master's,Moderate,High,71.7
91,91,Master's,Moderate,High,64.4
92,92,Bachelor's,Moderate,Low,91.6
93,93,Bachelor's,High,High,65.0
94,94,Master's,Low,Low,60.2
95,95,Doctorate,High,Low,59.9
96,96,Doctorate,Low,High,79.9
97,97,Doctorate,Moderate,Moderate,92.8
98,98,Doctorate,High,Moderate,70.1
99,99,Bachelor's,Low,High,64.7
100,100,Doctorate,High,Moderate,94.0
101,101,Master's,High,Moderate,99.1
102,102,Doctorate,Moderate,High,70.6
103,103,Doctorate,High,Low,58.0
104,104,Doctorate,High,High,95.4
105,105,Master's,Moderate,High,52.8
106,106,Bachelor's,Moderate,Low,96.5
107,107,Doctorate,Moderate,Low,53.6
108,108,Bachelor's,High,Low,91.6
109,109,Bachelor's,Low,Moderate,78.0
110,110,Master's,High,High,82.7
111,111,Master's,Moderate,Low,64.3
112,112,Bachelor's,Low,Moderate,63.8
113,113,Master's,High,Low,83.0
114,114,Doctorate,Moderate,Moderate,98.4
115,115,Bachelor's,High,Moderate,96.9
116,116,Bachelor's,High,High,93.2
117,117,Master's,Low,High,87.3
118,118,Doctorate,Moderate,Low,52.0
119,119,Doctorate,Moderate,Low,50.6
120,120,Doctorate,Low,High,54.5
121,121,Doctorate,High,High,93.3
122,122,Bachelor's,Low,Moderate,50.1
123,123,Doctorate,High,High,58.8
124,124,Bachelor's,High,Moderate,87.6
125,125,Master's,Low,Low,61.7
126,126,Doctorate,Low,Low,79.5
127,127,Bachelor's,Moderate,Low,50.8
128,128,Bachelor's,Moderate,Moderate,99.6
129,129,Master's,Moderate,High,98.5
130,130,Bachelor's,Moderate,Moderate,91.7
131,131,Master's,High,High,94.5
132,132,Master's,High,Moderate,69.7
133,133,Doctorate,High,Low,67.8
134,134,Doctorate,Moderate,Low,81.9
135,135,Bachelor's,High,High,85.9
136,136,Doctorate,High,Moderate,73.9
137,137,Bachelor's,Moderate,Low,78.8
138,138,Bachelor's,Moderate,High,82.5
139,139,Doctorate,High,High,50.4
140,140,Master's,Low,Low,75.4
141,141,Bachelor's,High,Moderate,57.3
142,142,Doctorate,Low,High,92.7
143,143,Bachelor's,High,High,80.0
144,144,Bachelor's,Low,Moderate,74.3
145,145,Doctorate,High,High,79.8
146,146,Doctorate,High,Low,92.4
147,147,Bachelor's,High,Moderate,100.0
148,148,Bachelor's,High,Low,50.7
149,149,Doctorate,Low,Moderate,94.0
150,150,Master's,Low,Low,60.9
151,151,Master's,High,Low,71.2
152,152,Master's,Low,Low,82.6
153,153,Doctorate,High,Moderate,61.6
154,154,Master's,Low,Moderate,59.4
155,155,Bachelor's,High,Moderate,55.1
156,156,Doctorate,Moderate,Low,76.5
157,157,Doctorate,Low,High,70.7
158,158,Master's,Moderate,Moderate,52.7
159,159,Master's,Low,Low,96.5
160,160,Bachelor's,High,Moderate,99.9
161,161,Master's,Low,Moderate,81.3
162,162,Master's,Low,Moderate,53.6
163,163,Bachelor's,Low,Moderate,59.5
164,164,Master's,High,High,86.1
165,165,Bachelor's,Low,Moderate,78.8
166,166,Doctorate,High,Low,65.8
167,167,Doctorate,High,Moderate,94.4
168,168,Doctorate,Low,Low,93.4
169,169,Doctorate,Low,Low,87.0
170,170,Doctorate,High,Moderate,65.2
171,171,Doctorate,High,High,89.8
172,172,Doctorate,High,Low,77.1
173,173,Bachelor's,Moderate,Moderate,70.0
174,174,Doctorate,Low,Moderate,63.3
175,175,Master's,Low,Moderate,90.5
176,176,Doctorate,Moderate,Moderate,96.0
177,177,Master's,Moderate,Moderate,98.1
178,178,Master's,Low,Moderate,69.2
179,179,Bachelor's,Low,Low,63.0
180,180,Master's,Moderate,Moderate,86.4
181,181,Doctorate,Moderate,High,99.8
182,182,Bachelor's,High,Low,94.4
183,183,Master's,High,Low,82.8
184,184,Doctorate,Low,High,84.1
185,185,Doctorate,Low,Moderate,78.1
186,186,Bachelor's,High,Low,61.6
187,187,Bachelor's,Moderate,High,66.9
188,188,Doctorate,Moderate,Moderate,93.3
189,189,Master's,High,Moderate,51.3
190,190,Bachelor's,Low,High,83.7
191,191,Bachelor's,Low,Moderate,71.6
192,192,Bachelor's,Low,Low,76.6
193,193,Doctorate,Moderate,Moderate,54.4
194,194,Bachelor's,High,Low,74.0
195,195,Doctorate,Low,High,95.8
196,196,Doctorate,Moderate,Low,73.0
197,197,Bachelor's,High,Moderate,84.8
198,198,Bachelor's,High,High,76.0
199,199,Bachelor's,High,Moderate,77.1
200,200,Bachelor's,Low,Low,73.2
201,201,Doctorate,Low,Low,97.8
202,202,Master's,Low,Low,73.3
203,203,Doctorate,High,Low,91.7
204,204,Master's,Moderate,High,66.5
205,205,Master's,High,Low,58.9
206,206,Doctorate,Low,Moderate,70.4
207,207,Doctorate,Low,Low,74.8
208,208,Master's,Moderate,High,95.9
209,209,Master's,Moderate,Moderate,58.1
210,210,Doctorate,Moderate,Low,88.7
211,211,Doctorate,Moderate,High,53.2
212,212,Bachelor's,Moderate,Moderate,57.9
213,213,Master's,Low,Moderate,76.1
214,214,Master's,Moderate,High,96.2
215,215,Doctorate,High,High,72.3
216,216,Doctorate,Low,High,97.1
217,217,Bachelor's,Low,High,69.9
218,218,Doctorate,Low,Moderate,64.8
219,219,Bachelor's,High,High,88.3
220,220,Doctorate,High,High,69.2
221,221,Master's,High,High,63.4
222,222,Master's,High,High,85.6
223,223,Bachelor's,Moderate,High,76.7
224,224,Master's,High,Low,80.1
225,225,Master's,High,High,66.3
226,226,Bachelor's,Moderate,Low,72.2
227,227,Doctorate,High,Low,75.4
228,228,Bachelor's,High,High,87.0
229,229,Doctorate,Low,Low,50.4
230,230,Bachelor's,High,High,57.5
231,231,Bachelor's,Low,Low,53.1
232,232,Bachelor's,High,Moderate,73.7
233,233,Master's,Low,Moderate,85.8
234,234,Doctorate,Low,Low,60.2
235,235,Doctorate,Moderate,Moderate,50.8
236,236,Doctorate,High,Moderate,56.5
237,237,Master's,Moderate,Moderate,86.7
238,238,Doctorate,Low,Moderate,54.7
239,239,Master's,High,High,54.8
240,240,Master's,Moderate,Moderate,53.1
241,241,Doctorate,Moderate,Moderate,55.6
242,242,Doctorate,Moderate,High,73.7
243,243,Bachelor's,Low,Low,76.3
244,244,Master's,Moderate,Low,56.3
245,245,Master's,High,Moderate,51.0
246,246,Master's,Moderate,Low,55.6
247,247,Bachelor's,Low,Moderate,51.6
248,248,Bachelor's,Moderate,Moderate,62.1
249,249,Master's,Moderate,Moderate,72.5
250,250,Doctorate,Moderate,Moderate,98.7
251,251,Master's,Low,High,58.7
252,252,Bachelor's,Moderate,Low,88.1
253,253,Bachelor's,High,High,63.1
254,254,Master's,Low,Moderate,71.1
255,255,Bachelor's,Low,Low,83.7
256,256,Bachelor's,Moderate,Low,62.5
257,257,Master's,Moderate,High,76.0
258,258,Master's,High,Moderate,76.3
259,259,Master's,Low,Low,94.8
260,260,Bachelor's,Low,Low,98.6
261,261,Doctorate,Moderate,Moderate,68.3
262,262,Master's,High,Moderate,53.7
263,263,Master's,Moderate,Low,71.4
264,264,Doctorate,High,Moderate,53.3
265,265,Doctorate,Low,High,71.8
266,266,Bachelor's,Moderate,Moderate,61.8
267,267,Bachelor's,Moderate,High,54.1
268,268,Bachelor's,Low,High,57.1
269,269,Bachelor's,Low,Low,56.5
270,270,Master's,High,Low,98.8
271,271,Bachelor's,High,High,69.6
272,272,Bachelor's,High,High,94.4
273,273,Bachelor's,Low,Moderate,73.2
274,274,Master's,Low,High,89.8
275,275,Bachelor's,Low,High,78.3
276,276,Doctorate,Moderate,Low,96.9
277,277,Doctorate,Moderate,Moderate,62.7
278,278,Doctorate,Moderate,High,59.6
279,279,Doctorate,Moderate,High,86.8
280,280,Doctorate,Low,Moderate,95.5
281,281,Bachelor's,Low,High,79.5
282,282,Doctorate,Low,High,54.1
283,283,Doctorate,High,High,94.5
284,284,Master's,Low,High,60.3
285,285,Master's,Low,Low,59.2
286,286,Bachelor's,High,High,93.8
287,287,Doctorate,High,High,93.5
288,288,Doctorate,Low,Low,80.2
289,289,Master's,Low,Moderate,83.5
290,290,Doctorate,Moderate,High,60.6
291,291,Doctorate,Low,Low,78.4
292,292,Doctorate,High,Low,52.0
293,293,Doctorate,Moderate,Moderate,71.8
294,294,Master's,Low,High,69.5
295,295,Master's,Moderate,Low,74.2
296,296,Master's,High,High,97.2
297,297,Bachelor's,Moderate,High,61.5
298,298,Master's,Low,Low,70.6
299,299,Doctorate,Moderate,Low,52.7
300,300,Bachelor's,Moderate,High,65.9
301,301,Bachelor's,High,Moderate,88.9
302,302,Master's,Moderate,Moderate,84.8
303,303,Bachelor's,High,Low,86.8
304,304,Bachelor's,Moderate,Low,63.3
305,305,Doctorate,Moderate,Moderate,80.4
306,306,Bachelor's,High,Low,71.1
307,307,Doctorate,High,High,68.4
308,308,Doctorate,Low,High,75.0
309,309,Master's,Low,High,74.1
310,310,Doctorate,Low,Moderate,56.6
311,311,Bachelor's,High,Moderate,70.8
312,312,Master's,Low,Moderate,58.8
313,313,Bachelor's,High,Moderate,54.0
314,314,Master's,Low,Low,52.9
315,315,Master's,Low,Low,76.2
316,316,Master's,High,Low,85.9
317,317,Master's,Moderate,High,79.4
318,318,Master's,Moderate,Moderate,71.2
319,319,Master's,Moderate,High,85.3
320,320,Doctorate,Moderate,Moderate,57.8
321,321,Master's,Moderate,Moderate,93.0
322,322,Bachelor's,Low,High,63.6
323,323,Doctorate,Low,Low,95.3
324,324,Master's,Moderate,High,83.6
325,325,Doctorate,Moderate,High,56.0
326,326,Master's,High,High,51.3
327,327,Master's,High,High,87.1
328,328,Doctorate,High,Low,83.5
329,329,Bachelor's,Moderate,Low,90.7
330,330,Bachelor's,Moderate,Moderate,97.9
331,331,Bachelor's,High,High,84.6
332,332,Bachelor's,High,High,74.4
333,333,Doctorate,High,Moderate,94.1
334,334,Bachelor's,Moderate,Low,51.7
335,335,Bachelor's,Low,High,94.0
336,336,Master's,Moderate,Moderate,61.8
337,337,Doctorate,Low,Moderate,96.1
338,338,Bachelor's,Low,Low,91.7
339,339,Bachelor's,Moderate,Low,93.5
340,340,Bachelor's,Low,Moderate,82.3
341,341,Master's,High,Moderate,75.8
342,342,Master's,Low,Low,87.6
343,343,Master's,Low,Low,98.1
344,344,Master's,High,High,76.3
345,345,Bachelor's,Low,Low,64.3
346,346,Bachelor's,Low,Low,80.6
347,347,Bachelor's,Low,High,63.8
348,348,Bachelor's,Low,Moderate,52.6
349,349,Doctorate,Moderate,Moderate,98.6
350,350,Bachelor's,Low,Moderate,52.9
351,351,Bachelor's,Moderate,Moderate,81.4
352,352,Doctorate,Moderate,High,90.9
353,353,Master's,Moderate,Moderate,79.0
354,354,Bachelor's,High,High,91.3
355,355,Master's,High,Low,57.4
356,356,Doctorate,Low,High,86.0
357,357,Doctorate,Moderate,Moderate,85.5
358,358,Doctorate,High,Moderate,60.3
359,359,Master's,Moderate,Low,60.4
360,360,Master's,High,Low,82.3
361,361,Bachelor's,Moderate,High,65.6
362,362,Doctorate,Moderate,High,75.6
363,363,Bachelor's,Moderate,High,81.1
364,364,Bachelor's,Moderate,High,55.3
365,365,Master's,Moderate,High,86.7
366,366,Bachelor's,Low,Low,68.8
367,367,Doctorate,Low,High,88.7
368,368,Bachelor's,Low,Low,71.3
369,369,Doctorate,High,High,82.5
370,370,Master's,High,Moderate,56.5
371,371,Master's,Moderate,Moderate,75.2
372,372,Doctorate,Moderate,Moderate,73.8
373,373,Doctorate,Moderate,Low,91.4
374,374,Doctorate,Low,Moderate,87.8
375,375,Doctorate,Moderate,High,92.8
376,376,Bachelor's,Moderate,High,74.2
377,377,Bachelor's,High,Moderate,79.8
378,378,Bachelor's,High,High,57.3
379,379,Doctorate,Low,High,76.3
380,380,Bachelor's,Moderate,Low,56.9
381,381,Doctorate,Moderate,High,86.5
382,382,Bachelor's,Moderate,Moderate,96.0
383,383,Master's,High,Moderate,77.7
384,384,Master's,Moderate,High,85.1
385,385,Bachelor's,Moderate,Moderate,72.7
386,386,Bachelor's,Low,Low,69.4
387,387,Bachelor's,Moderate,High,67.3
388,388,Doctorate,High,High,96.9
389,389,Master's,High,High,79.1
390,390,Bachelor's,Low,Low,53.6
391,391,Bachelor's,Moderate,High,90.9
392,392,Master's,Moderate,High,71.0
393,393,Bachelor's,Low,High,61.6
394,394,Bachelor's,Moderate,Moderate,98.2
395,395,Bachelor's,High,Low,53.7
396,396,Master's,Moderate,Moderate,69.1
397,397,Master's,High,High,73.3
398,398,Bachelor's,High,High,84.8
399,399,Bachelor's,Low,Low,71.3
400,400,Bachelor's,High,Low,71.1
401,401,Master's,Low,High,85.6
402,402,Doctorate,High,High,86.3
403,403,Master's,Low,High,51.7
404,404,Bachelor's,Moderate,Low,68.4
405,405,Bachelor's,High,Low,89.8
406,406,Bachelor's,Low,High,56.8
407,407,Master's,Moderate,Moderate,69.4
408,408,Bachelor's,Moderate,Low,83.0
409,409,Bachelor's,Low,Moderate,64.4
410,410,Doctorate,Moderate,Low,53.5
411,411,Bachelor's,High,Low,86.4
412,412,Doctorate,Moderate,High,53.4
413,413,Master's,High,Moderate,84.0
414,414,Doctorate,High,Moderate,83.5
415,415,Master's,Moderate,High,69.1
416,416,Doctorate,High,Moderate,89.2
417,417,Master's,Low,High,86.4
418,418,Bachelor's,Low,Moderate,92.5
419,419,Master's,High,High,61.1
420,420,Master's,High,High,69.3
421,421,Doctorate,High,High,93.9
422,422,Master's,Moderate,Moderate,99.2
423,423,Doctorate,High,Moderate,88.5
424,424,Master's,Moderate,High,56.2
425,425,Master's,High,Moderate,97.6
426,426,Doctorate,Moderate,High,72.6
427,427,Doctorate,High,High,50.3
428,428,Master's,High,Moderate,83.4
429,429,Master's,Low,High,60.4
430,430,Bachelor's,Moderate,Moderate,80.0
431,431,Master's,High,High,93.6
432,432,Bachelor's,Low,High,68.0
433,433,Bachelor's,High,High,75.3
434,434,Bachelor's,Low,High,62.9
435,435,Doctorate,Low,High,66.3
436,436,Bachelor's,High,Low,71.2
437,437,Doctorate,Moderate,High,87.3
438,438,Master's,High,Low,86.7
439,439,Master's,Moderate,Low,96.1
440,440,Master's,Moderate,Low,58.4
441,441,Bachelor's,Low,Low,65.3
442,442,Master's,Low,Low,63.5
443,443,Master's,Moderate,Low,91.2
444,444,Master's,Moderate,High,85.2
445,445,Master's,Low,High,82.2
446,446,Doctorate,High,Low,52.6
447,447,Master's,Low,High,82.6
448,448,Doctorate,High,Moderate,55.0
449,449,Master's,Moderate,Low,69.9
450,450,Doctorate,Moderate,Low,52.4
451,451,Bachelor's,Moderate,Low,71.3
452,452,Doctorate,High,Low,50.3
453,453,Master's,Low,Moderate,62.5
454,454,Doctorate,Low,Low,59.6
455,455,Doctorate,Low,High,75.6
456,456,Bachelor's,Moderate,Moderate,58.4
457,457,Doctorate,Moderate,High,72.4
458,458,Doctorate,High,Moderate,80.9
459,459,Doctorate,Moderate,Low,86.9
460,460,Bachelor's,Low,Low,97.4
461,461,Master's,Moderate,High,63.0
462,462,Bachelor's,High,Moderate,92.9
463,463,Doctorate,High,High,97.4
464,464,Doctorate,Low,High,93.8
465,465,Doctorate,High,Low,87.6
466,466,Bachelor's,Moderate,Moderate,71.4
467,467,Master's,High,Moderate,52.4
468,468,Doctorate,Moderate,Low,80.2
469,469,Doctorate,Low,Low,73.4
470,470,Master's,Low,Moderate,75.5
471,471,Doctorate,Low,Low,50.1
472,472,Master's,Moderate,High,80.1
473,473,Doctorate,High,Moderate,90.0
474,474,Master's,Moderate,Moderate,76.7
475,475,Doctorate,High,Moderate,67.1
476,476,Doctorate,Low,High,75.3
477,477,Master's,Moderate,Moderate,68.6
478,478,Bachelor's,High,Low,87.3
479,479,Master's,Moderate,Moderate,68.9
480,480,Master's,Moderate,Low,62.4
481,481,Doctorate,High,Moderate,83.2
482,482,Master's,High,High,57.5
483,483,Doctorate,Moderate,Moderate,61.8
484,484,Doctorate,Moderate,Moderate,92.5
485,485,Bachelor's,High,Moderate,54.3
486,486,Bachelor's,Moderate,High,64.3
487,487,Doctorate,Low,High,76.6
488,488,Master's,Low,High,88.1
489,489,Doctorate,High,Low,51.8
490,490,Bachelor's,Low,Low,98.5
491,491,Master's,Low,Moderate,55.0
492,492,Bachelor's,Low,Low,86.6
493,493,Bachelor's,Low,Low,68.4
494,494,Doctorate,High,High,55.9
495,495,Master's,High,Moderate,84.4
496,496,Master's,High,Low,85.9
497,497,Bachelor's,High,Low,92.9
498,498,Bachelor's,Low,Moderate,78.7
499,499,Doctorate,Low,High,84.3
500,500,Doctorate,High,Moderate,68.2
